Hersteller,Typ,Code,Suchbegriffe,Fehler,Ursache,Info,Weitere,Kategorie,Link,TypBild,Details,Modal,ID,,,CsvVersion
CsvVersion,,,,,,,,,,,,,,,,1.0.10
Gilgen,SLM,E1,1,ANTE 1 defekt.,"Überprüfen, ob NOT-AUS-Brücke gesteckt. Wenn ja, ANTE 1 ersetzen. ",,,,"
<a href=""https://media.gilgendoorsystems.com/download/CDLCKpXBwnbh"" target=""_blank""style=""color: var(--fg);"">SLM Betreiberhandbuch</a> ",images/typen/slm.png,,Reset mit Bedis:details/reset_mit_bedis.html,10000,,,
Gilgen,SLM,E3,3,ANTE 1 beim Lernen behindert. Weg kleiner als 230 mm.,Tür wird durch ein Hindernis in AUF-Richtung blockiert. Hindernis entfernen und RESET durchführen.,,,,"
<a href=""https://media.gilgendoorsystems.com/download/CDLCKpXBwnbh"" target=""_blank""style=""color: var(--fg);"">SLM Betreiberhandbuch</a> ",images/typen/slm.png,,Reset mit Bedis:details/reset_mit_bedis.html,10001,,,
Gilgen,SLM,E4,4,ANTE 1 beim Lernen überlaufen. Weg größer als 9'800 mm.,Einrichtweg größer als 9'800 mm. Riemen und ANTE-Getriebe überprüfen.,,,,"
<a href=""https://media.gilgendoorsystems.com/download/CDLCKpXBwnbh"" target=""_blank""style=""color: var(--fg);"">SLM Betreiberhandbuch</a> ",images/typen/slm.png,,Reset mit Bedis:details/reset_mit_bedis.html,10002,,,
Gilgen,SLM,E5,5,ANTE 1 Reibung zu groß Fahrtwiderstand zu groß.,"Kontrolle Bodenführung, Gegendruckrollen, Riemenspannung und Türflügelgewichte. ",,,,"
<a href=""https://media.gilgendoorsystems.com/download/CDLCKpXBwnbh"" target=""_blank""style=""color: var(--fg);"">SLM Betreiberhandbuch</a> ",images/typen/slm.png,,Reset mit Bedis:details/reset_mit_bedis.html,10003,,,
Gilgen,SLM,E6,6,ANTE 2 defekt.,"Überprüfen, ob NOT-AUS-Brücke gesteckt. Wenn ja, ANTE 2 ersetzen. ",,,,"
<a href=""https://media.gilgendoorsystems.com/download/CDLCKpXBwnbh"" target=""_blank""style=""color: var(--fg);"">SLM Betreiberhandbuch</a> ",images/typen/slm.png,,Reset mit Bedis:details/reset_mit_bedis.html,10004,,,
Gilgen,SLM,E7,7,ANTE 2 beim Lernen behindert. Weg kleiner als 230 mm.,Tür wird wahrscheinlich durch ein Hindernis blockiert. Hindernis entfernen.,,,,"
<a href=""https://media.gilgendoorsystems.com/download/CDLCKpXBwnbh"" target=""_blank""style=""color: var(--fg);"">SLM Betreiberhandbuch</a> ",images/typen/slm.png,,Reset mit Bedis:details/reset_mit_bedis.html,10005,,,
Gilgen,SLM,E8,8,ANTE 2 beim Lernen überlaufen. Weg größer als 9'800 mm.,Einrichtweg größer als 9'800 mm. Riemen und ANTE-Getriebe überprüfen.,,,,"
<a href=""https://media.gilgendoorsystems.com/download/CDLCKpXBwnbh"" target=""_blank""style=""color: var(--fg);"">SLM Betreiberhandbuch</a> ",images/typen/slm.png,,Reset mit Bedis:details/reset_mit_bedis.html,10006,,,
Gilgen,SLM,E9,9,ANTE 2 Reibung zu groß Fahrtwiderstand zu groß.,"Kontrolle Bodenführung, Gegendruckrollen, Riemenspannung und Türflügelgewichte. ",,,,"
<a href=""https://media.gilgendoorsystems.com/download/CDLCKpXBwnbh"" target=""_blank""style=""color: var(--fg);"">SLM Betreiberhandbuch</a> ",images/typen/slm.png,,Reset mit Bedis:details/reset_mit_bedis.html,10007,,,
Gilgen,SLM,E10,10,KLESE defekt.,Software ersetzen. eventuell KLESE ersetzen.,,,,"
<a href=""https://media.gilgendoorsystems.com/download/CDLCKpXBwnbh"" target=""_blank""style=""color: var(--fg);"">SLM Betreiberhandbuch</a> ",images/typen/slm.png,,Reset mit Bedis:details/reset_mit_bedis.html,10008,,,
